Log Price,Log Volume,Log Market Cap,Price Range Pct (24h),Volume To Market Cap,Distance From Ath Pct,Distance From Atl Pct,Mc Rank Inv,Profitable (24h)
0.7318870088758759,16.981366082238342,22.177375089473742,0.02965708989805378,0.005538624749623264,-2.40649,12.14079,0.02631578947368421,1
0.10327654570007123,16.73412509610623,22.12468844957832,0.021498556958767567,0.004559403810867447,-88.70712,799.55378,0.02564102564102564,0
0.959350221334602,18.480713651917153,22.0956515644039,0.04347826086956511,0.026918596227383226,-80.42529,211.07673,0.025,1
0.6929816668633092,18.7465016127657,22.065699090638006,0.0008402781320616643,0.03618185659483132,-2.07301,4.18492,0.024390243902439025,0
1.199964782928397,19.078000996350404,22.061482479222416,0.056034482758620836,0.0506163067007596,-95.77535,17.4484,0.023809523809523808,1
1.9487632180377197,19.670901775891267,22.05549300260158,0.04152823920265781,0.09212663054971008,-86.57526,485.35245,0.023255813953488372,0
0.6930421750470593,19.52747922413608,22.049919363922044,0.0017513677872351555,0.08026351316275813,-4.86066,2.57905,0.022727272727272728,0
0.7929925155296614,17.82095394046207,22.042058146540544,0.0,0.014682422866281573,-6.5117,19.22296,0.022222222222222223,0
0.7275486072772778,18.56537682386014,21.972353956304413,0.07570093457943922,0.03314123038422477,-62.32,249.30641,0.021739130434782608,1
5.267909704126611,19.363176641492505,21.797074454157343,0.04414279052898819,0.08769434909087019,-70.79854,642.50492,0.02127659574468085,0
5.704049105773632,19.037246926950473,21.78393072188528,0.12434800053497391,0.06414021068296674,-60.04606,881.81424,0.020833333333333332,1
0.07429452618000881,16.49747780373075,21.73677207197936,0.10327524505990353,0.005303998354617247,-51.58226,5.44046,0.02040816326530612,0
0.6926650643606052,19.602844454473832,21.72226100872441,0.0010209842287965808,0.12010168056477942,-2.49201,0.97557,0.02,0
1.5195132049061133,17.896580534783173,21.641518751680042,0.01960784313725498,0.02363708898551716,-57.63006,24973.68589,0.0196078431372549,0
1.0473189942805592,19.186823423454253,21.587393594054852,0.0702702702702702,0.09066624293944224,-90.9097,252.69923,0.019230769230769232,1
0.8501509293696101,17.169320655959822,21.547872362860346,0.05970149253731348,0.012543511721270637,-54.87247,2713.28115,0.018867924528301886,1
4.675535448648655,17.383150337247216,21.526374331093592,0.0396086179320727,0.015871598551704825,-58.31852,18242.35158,0.018518518518518517,1
0.6920941262928755,12.831821218802665,21.505294918765838,0.006510705034096749,0.00017106338907393054,-7.13063,5.7806,0.01818181818181818,0
